region,date,confirmed
Gangwon-do,02-15,0
Chungcheongbuk-do,02-15,0
Chungcheongnam-do,02-15,0
Jeollabuk-do,02-15,1
Jeollanam-do,02-15,0
Gyeongsangnam-do,02-15,0
Jeju-do,02-15,0
Daegu,02-15,0
Gyeongsangbuk-do,02-15,0
Seoul,02-16,11
Busan,02-16,0
Incheon,02-16,2
Gwangju,02-16,3
Daejeon,02-16,0
Ulsan,02-16,0
Sejong,02-16,0
Gyeonggi-do,02-16,12
Gangwon-do,02-16,0
Chungcheongbuk-do,02-16,0
Chungcheongnam-do,02-16,0
Jeollabuk-do,02-16,1
Jeollanam-do,02-16,0
Gyeongsangnam-do,02-16,0
Jeju-do,02-16,0
Daegu,02-16,0
Gyeongsangbuk-do,02-16,0
Seoul,02-17,12
Busan,02-17,0
Incheon,02-17,2
Gwangju,02-17,3
Daejeon,02-17,0
Ulsan,02-17,0
Sejong,02-17,0
Gyeonggi-do,02-17,12
Gangwon-do,02-17,0
Chungcheongbuk-do,02-17,0
Chungcheongnam-do,02-17,0
Jeollabuk-do,02-17,1
Jeollanam-do,02-17,0
Gyeongsangnam-do,02-17,0
Jeju-do,02-17,0
Daegu,02-17,0
Gyeongsangbuk-do,02-17,0
Seoul,02-18,12
Busan,02-18,0
Incheon,02-18,2
Gwangju,02-18,3
Daejeon,02-18,0
Ulsan,02-18,0
Sejong,02-18,0
Gyeonggi-do,02-18,12
Gangwon-do,02-18,0
Chungcheongbuk-do,02-18,0
Chungcheongnam-do,02-18,0
Jeollabuk-do,02-18,1
Jeollanam-do,02-18,0
Gyeongsangnam-do,02-18,0
Jeju-do,02-18,0
Daegu,02-18,1
Gyeongsangbuk-do,02-18,0
Seoul,02-19,12
Busan,02-19,2
Incheon,02-19,2
Gwangju,02-19,3
Daejeon,02-19,0
Ulsan,02-19,0
Sejong,02-19,0
Gyeonggi-do,02-19,12
Gangwon-do,02-19,1
Chungcheongbuk-do,02-19,0
Chungcheongnam-do,02-19,0
Jeollabuk-do,02-19,1
Jeollanam-do,02-19,0
Gyeongsangnam-do,02-19,3
Jeju-do,02-19,0
Daegu,02-19,11
Gyeongsangbuk-do,02-19,4
Seoul,02-20,20
Busan,02-20,8
Incheon,02-20,2
Gwangju,02-20,2
Daejeon,02-20,0
Ulsan,02-20,0
Sejong,02-20,0
Gyeonggi-do,02-20,12
Gangwon-do,02-20,1
Chungcheongbuk-do,02-20,0
Chungcheongnam-do,02-20,0
Jeollabuk-do,02-20,1
Jeollanam-do,02-20,0
Gyeongsangnam-do,02-20,3
Jeju-do,02-20,0
Daegu,02-20,30
Gyeongsangbuk-do,02-20,25
Seoul,02-21,24
Busan,02-21,8
Incheon,02-21,2
Gwangju,02-21,4
Daejeon,02-21,0
Ulsan,02-21,0
Sejong,02-21,0
Gyeonggi-do,02-21,14
Gangwon-do,02-21,2
Chungcheongbuk-do,02-21,1
Chungcheongnam-do,02-21,1
Jeollabuk-do,02-21,2
Jeollanam-do,02-21,0
Gyeongsangnam-do,02-21,7
Jeju-do,02-21,1
Daegu,02-21,110
Gyeongsangbuk-do,02-21,28
Seoul,02-22,30
Busan,02-22,11
Incheon,02-22,2
Gwangju,02-22,6
Daejeon,02-22,2
Ulsan,02-22,1
Sejong,02-22,1
Gyeonggi-do,02-22,20
Gangwon-do,02-22,6
Chungcheongbuk-do,02-22,3
Chungcheongnam-do,02-22,1
Jeollabuk-do,02-22,3
Jeollanam-do,02-22,1
Gyeongsangnam-do,02-22,7
Jeju-do,02-22,1
Daegu,02-22,193
Gyeongsangbuk-do,02-22,145
Seoul,02-23,31
Busan,02-23,19
Incheon,02-23,2
Gwangju,02-23,8
Daejeon,02-23,3
Ulsan,02-23,1
Sejong,02-23,1
Gyeonggi-do,02-23,24
Gangwon-do,02-23,6
Chungcheongbuk-do,02-23,3
Chungcheongnam-do,02-23,1
Jeollabuk-do,02-23,3
Jeollanam-do,02-23,1
Gyeongsangnam-do,02-23,17
Jeju-do,02-23,2
Daegu,02-23,310
Gyeongsangbuk-do,02-23,170
Seoul,02-24,35
Busan,02-24,34
Incheon,02-24,2
Gwangju,02-24,9
Daejeon,02-24,3
Ulsan,02-24,2
Sejong,02-24,1
Gyeonggi-do,02-24,35
Gangwon-do,02-24,6
Chungcheongbuk-do,02-24,3
Chungcheongnam-do,02-24,1
Jeollabuk-do,02-24,3
Jeollanam-do,02-24,1
Gyeongsangnam-do,02-24,20
Jeju-do,02-24,2
Daegu,02-24,483
Gyeongsangbuk-do,02-24,193
Seoul,02-25,41
Busan,02-25,42
Incheon,02-25,2
Gwangju,02-25,9
Daejeon,02-25,3
Ulsan,02-25,3
Sejong,02-25,1
Gyeonggi-do,02-25,42
Gangwon-do,02-25,6
Chungcheongbuk-do,02-25,5
Chungcheongnam-do,02-25,2
Jeollabuk-do,02-25,3
Jeollanam-do,02-25,1
Gyeongsangnam-do,02-25,23
Jeju-do,02-25,2
Daegu,02-25,543
Gyeongsangbuk-do,02-25,249
Seoul,02-26,49
Busan,02-26,58
Incheon,02-26,3
Gwangju,02-26,9
Daejeon,02-26,5
Ulsan,02-26,4
Sejong,02-26,1
Gyeonggi-do,02-26,51
Gangwon-do,02-26,6
Chungcheongbuk-do,02-26,5
Chungcheongnam-do,02-26,3
Jeollabuk-do,02-26,3
Jeollanam-do,02-26,1
Gyeongsangnam-do,02-26,34
Jeju-do,02-26,2
Daegu,02-26,710
Gyeongsangbuk-do,02-26,317
Seoul,02-27,56
Busan,02-27,61
Incheon,02-27,3
Gwangju,02-27,9
Daejeon,02-27,9
Ulsan,02-27,11
Sejong,02-27,1
Gyeonggi-do,02-27,62
Gangwon-do,02-27,6
Chungcheongbuk-do,02-27,8
Chungcheongnam-do,02-27,12
Jeollabuk-do,02-27,5
Jeollanam-do,02-27,1
Gyeongsangnam-do,02-27,43
Jeju-do,02-27,2
Daegu,02-27,1132
Gyeongsangbuk-do,02-27,345
Seoul,02-28,62
Busan,02-28,65
Incheon,02-28,4
Gwangju,02-28,9
Daejeon,02-28,14
Ulsan,02-28,14
Sejong,02-28,1
Gyeonggi-do,02-28,72
Gangwon-do,02-28,7
Chungcheongbuk-do,02-28,9
Chungcheongnam-do,02-28,35
Jeollabuk-do,02-28,5
Jeollanam-do,02-28,1
Gyeongsangnam-do,02-28,49
Jeju-do,02-28,2
Daegu,02-28,1579
Gyeongsangbuk-do,02-28,409
Seoul,02-29,77
Busan,02-29,80
Incheon,02-29,6
Gwangju,02-29,9
Daejeon,02-29,13
Ulsan,02-29,17
Sejong,02-29,1
Gyeonggi-do,02-29,82
Gangwon-do,02-29,7
Chungcheongbuk-do,02-29,10
Chungcheongnam-do,02-29,55
Jeollabuk-do,02-29,5
Jeollanam-do,02-29,3
Gyeongsangnam-do,02-29,59
Jeju-do,02-29,2
Daegu,02-29,2236
